[WARNING] MI(1507537:140183177680704,MainProcess):2022-08-09-20:37:46.495.130 [MINDCONVERTER] [DEPRECATED] AST conversion would be removed in following version.
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.849.101 [MINDCONVERTER] Line 625: start converting function f1score_torch()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.854.151 [MINDCONVERTER] Line 676: start converting function mae_torch_bear()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.857.468 [MINDCONVERTER] Line 685: start converting function f1score_torch_bear()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.864.566 [MINDCONVERTER] Line 794: start converting function muti_loss_fusion()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.867.046 [MINDCONVERTER] Line 831: start converting function _upsample_like()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.867.708 [MINDCONVERTER] Line 1394: start converting function normalize()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.873.739 [MINDCONVERTER] Line 812: start converting nn.Module REBNCONV
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.873.828 [MINDCONVERTER] Line 813: start converting function __init__()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.875.605 [MINDCONVERTER] Line 816 start converting API: nn.Conv2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.879.134 [MINDCONVERTER] Line 818 start converting API: nn.BatchNorm2d
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.880.871 [MINDCONVERTER] Line 819 start converting API: nn.ReLU
[DEBUG] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.881.993 [MINDCONVERTER] REBNCONV.forward is a forward function
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.882.064 [MINDCONVERTER] Line 821: start converting function forward()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.883.306 [MINDCONVERTER] Line 838: start converting nn.Module RSU7
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.883.385 [MINDCONVERTER] Line 840: start converting function __init__()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.885.524 [MINDCONVERTER] Line 851 start converting API: nn.MaxPool2d
